"political_party","election_date","election_result",1,2,3,4,5,6,7,8,9,10,11,12
"azen","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kdh","2016-03-05",4.94,7.0,5.3,7.4,7.7,7.1,8.2,8.8,9.5,9.4,9.9,7.5,10.9
"zrs","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sns","2016-03-05",8.64,8.7,10.1,6.3,6.0,6.1,6.4,7.0,6.4,7.3,5.7,7.9,5.7
"smk","2016-03-05",4.04,3.5,3.4,4.2,4.1,4.2,4.1,4.2,4.3,5.4,4.0,3.0,4.6
"dobra_volba","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"most_hid","2016-03-05",6.5,8.2,6.4,6.6,7.0,7.3,7.1,7.5,7.8,7.4,7.2,4.5,7.0
"sme_rodina","2016-03-05",6.62,4.2,7.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
"za_ludi","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"progresivne_slovensko","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0
"lsns","2016-03-05",8.04,2.1,10.2,1.9,1.4,1.0,2.2,2.2,1.2,0.7,0.0,11.8,1.5
"olano","2016-03-05",11.02,6.1,10.2,6.4,6.6,6.7,8.0,8.1,7.7,7.8,7.0,8.3,6.0
"nova_demokracia","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kapurkova","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"unia","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kss","2016-03-05",0.62,0.7,1.2,1.5,1.3,0.8,0.7,1.7,1.0,2.1,1.4,1.2,1.2
"sdl","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hzds","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sss","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"zeleni","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"narod_a_spravodlivost","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,1.3
"pravo_a_spravodlivost","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"nas_kraj","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"robime_to_pre_deti","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"strana_zivnostnikov","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"strana_zelenych","2016-03-05",0.67,0.0,0.0,0.7,0.7,0.6,0.7,0.9,0.7,1.1,1.3,0.0,0.9
"strana_obcanov_slovenska","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"zmena_zdola","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
"strana_1_hlas","2016-03-05",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
